"","RegionName","RegionCode","Date","indicator_type","past_value","past_flag","present_value","present_flag","Notes"
"15","Nunavut","CAN_NU","25-Jun-21","C1_School closing",2,"T",2,"T","On 25th June in Rankin Inlet and all Qikiqtani communities except Iqaluit, public health measures were eased. Schools moved to Stage 1 of the Opening Plan for Nunavut Schools. Schools in Iqaluit remain at Stage 2    Sources:     http://web.archive.org/web/20210701083813/https://www.gov.nu.ca/health/news/public-health-restrictions-be-eased-across-qikiqtani-rankin-inlet    http://web.archive.org/web/20210616081130/https://gov.nu.ca/sites/default/files/files/2020-21_opening_plan_for_nunavut_schools_-_eng.pdf"
"16","Manitoba","CAN_MB","26-Jun-21","C1_School closing",2,"T",2,"T","As of June 26, Manitoba initiated the first phase of its summer reopening. However, there was no identified policy change in school closures, with targeted moves to online learning being used to contain localized outbreaks. https://web.archive.org/web/20210713204529/https://manitoba.ca/covid19/prs/index.html"
"17","Prince Edward Island","CAN_PE","27-Jun-21","C1_School closing",1,"G",1,"G","There are no changes to the schools policy. increased sanitation and masks are required in schools, with social distancing where necessary.     the province is in stage 1 of re-opening:   (Effective June 6, 2021)    Moving Forward Step 1: FAQs    Personal gatherings will increase to up to 20 people indoors and outdoors.  Weddings and funerals will be permitted with a maximum of 150 people, in cohorts of 50, hosted by a recognized business or organization.  Special occasion events (ex: backyard weddings, anniversary parties) hosted by individuals are permitted with up to 50 people with a reviewed operational plan.  Restaurants may have a table size of up to 20; no restricted closing time for in-person consumption of food and beverage.    https://archive.vn/yZPrK"
"18","New Brunswick","CAN_NB","28-Jun-21","C1_School closing",1,"G",1,"G","On 28 June 2021, the entire province of New Brunswick (NB) is at Yellow alert -- phase 2 on the path to green: “Schools: All educational and camp facilities are open under appropriate public health guidance, virtual to be used for at-risk groups. Post-secondary educational institutions may operate.” Elementary and secondary schools are now on the regular summer break: “summer learning program for students entering grade 10, 11 or 12 in the upcoming school year,...Courses will be offered … as regular distance learning courses. Courses will be taught by online teachers”. Some PSE institutions are still operating largely online -- e.g., at University of NB: “On-campus, in-person summer term courses will be offered through alternative delivery methods so you can continue your spring and summer studies from the comfort and safety of your home.” See Province of NB and UNB websites, archived: https://web.archive.org/web/20210628191913/https://www2.gnb.ca/content/gnb/en/news/news_release.2021.06.0505.html  https://web.archive.org/web/20210628193814/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels/yellow%20level.html  https://web.archive.org/web/20210628193221/https://secure1.nbed.nb.ca/sites/ASD-W/LeoHayesHigh/Guidance/Documents/Summer%20Learning%20for%20Students%202021.pdf  https://web.archive.org/web/20210628194005/https://www.unb.ca/cel/summer-at-unb.html"
"19","Newfoundland and Labrador","CAN_NL","28-Jun-21","C1_School closing",1,"G",1,"G","On 28 June 2021, in the province of Newfoundland and Labrador (NL), elementary and secondary schools are on the regular summer break. “The Provincial Government is working … on a full return to school for September”. At Memorial University: “The School of Human Kinetics and Recreation (HKR) will return to offering its programs fully on campus in the spring 2021 semester (beginning in mid-May and ending in mid-August)...The Faculty of Medicine, Faculty of Nursing, School of Pharmacy and Marine Institute will continue with on-campus instruction … Other faculties and schools with spring semester course offerings will continue with primarily remote instruction. Spring Semester extends over a 14-week period beginning in mid-May and ending in mid-August.” See government of NL and Memorial University websites, archived:  https://web.archive.org/web/20210628140956/https://www.gov.nl.ca/releases/2021/education/0624n02/  https://web.archive.org/web/20210628141323/https://www.mun.ca/covid19/students/spring.php"
"20","Northwest Territories","CAN_NT","28-Jun-21","C1_School closing",1,"G",1,"G","Schools continues to remain open. As a result of recent outbreaks, the new School Symptom Screening and Testing Process continues to be in place.  Students and staff who experience symptoms upon being tested will be encouraged to stay home, be assessed by a healthcare provider and issued an assessment card before returning to school.    https://web.archive.org/web/20210531231430/https://www.hss.gov.nt.ca/en/newsroom/introduction-new-school-symptom-screening-and-testing-process"
"21","Nova Scotia","CAN_NS","29-Jun-21","C1_School closing",2,"T",2,"T","A COVID-19 case connected to Glace Bay Elementary in Eastern Zone was announced on June 29, 2021. The school will be closed until the last day of the school year which is June 30, 2021. Source: https://archive.fo/GK2d2"
"22","Alberta","CAN_AB","30-Jun-21","C1_School closing",1,"G",1,"G","Alberta Education released their guidance for the 2021-22 school year on June 30. The next school year is planned to be in-person and with mostly pre-pandemic rules (no masking or social distancing, but will have extra hygiene measures in place), however contingency plans for modified in-person (i.e., masking, distancing) and online learning are listed in case COVID-19 cases rise. It is also noted in the guidance that since those born later than 2010 are not eligible for the vaccine yet, there may be additional COVID-19 measures in place for K-6 learners. Coding is left as 1 as summer school seems to be planned as online, or if in-person, with COVID-19 measures in place.    https://web.archive.org/web/20210703201115/https://open.alberta.ca/dataset/13d2242a-d310-419e-960c-6fe273d0f7b3/resource/ddac0c8a-a68d-46e1-9d76-2a4d34385273/download/edc-school-year-plan-2021-2022.pdf    "
"23","Yukon","CAN_YT","30-Jun-21","C1_School closing",1,"G",1,"G","No policy change. Schools remain open full-time, with sanitary measures in place.    Sources:    https://web.archive.org/web/20210630115100/https://yukon.ca/en/school-operations-covid-19    https://web.archive.org/web/20210630115004/https://yukon.ca/en/health-safety-schools-covid-19"
"24","Nova Scotia","CAN_NS","01-Jul-21","C1_School closing",2,"T",1,"G","Public schools in Nova Scotia are now closed for summer. However, Nova Scotia universities remain largely virtual. Source: https://archive.fo/GK2d2"
"25","New Brunswick","CAN_NB","05-Jul-21","C1_School closing",1,"G",1,"G","On 5 July 2021, the entire province of New Brunswick (NB) remains at Yellow alert -- phase 2 on the path to green: “Schools: All educational and camp facilities are open under appropriate public health guidance, virtual to be used for at-risk groups. Post-secondary educational institutions may operate.” Elementary and secondary schools are now on the regular summer break: “summer learning program for students entering grade 10, 11 or 12 in the upcoming school year,...Courses will be offered … as regular distance learning courses. Courses will be taught by online teachers”. Some PSE institutions are still operating largely online -- e.g., at University of NB: “On-campus, in-person summer term courses will be offered through alternative delivery methods so you can continue your spring and summer studies from the comfort and safety of your home.” See Province of NB and UNB websites, archived:   https://web.archive.org/web/20210703180650/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels/yellow%20level.html  https://web.archive.org/web/20210703180719/https://secure1.nbed.nb.ca/sites/ASD-W/LeoHayesHigh/Guidance/Documents/Summer%20Learning%20for%20Students%202021.pdf  https://web.archive.org/web/20210703180934/https://www.unb.ca/cel/summer-at-unb.html"
"26","Newfoundland and Labrador","CAN_NL","05-Jul-21","C1_School closing",1,"G",1,"G","On 5 July 2021, in the province of Newfoundland and Labrador (NL), elementary and secondary schools are on the regular summer break. “The Provincial Government is working … on a full return to school for September”. At Memorial University: “The School of Human Kinetics and Recreation (HKR) will return to offering its programs fully on campus in the spring 2021 semester (beginning in mid-May and ending in mid-August)...The Faculty of Medicine, Faculty of Nursing, School of Pharmacy and Marine Institute will continue with on-campus instruction … Other faculties and schools with spring semester course offerings will continue with primarily remote instruction. Spring Semester extends over a 14-week period beginning in mid-May and ending in mid-August.” See government of NL and Memorial University websites, archived:  https://web.archive.org/web/20210702193659/https://www.mun.ca/covid19/students/spring.php  https://web.archive.org/web/20210628140956/https://www.gov.nl.ca/releases/2021/education/0624n02/"
"27","Nunavut","CAN_NU","11-Jun-21","C2_Workplace closing",2,"T",2,"T","From 11th June in Iqaluit, personal services such as hairdressers and beauty salons could open, though masks are mandatory in them. Restrictions remain for restaurants and licensed establishments in Iqaluit who are restricted to takeout only.    Source: http://web.archive.org/web/20210616081758/https://www.gov.nu.ca/health/news/public-health-restrictions-eased-kinngait-and-iqaluit-masks-mandatory-across-territory"
"28","Ontario","CAN_ON","11-Jun-21","C2_Workplace closing",3,"G",2,"G","Ontario moves to its Step One of reopening.     Non-essential retaill permitted again up to 15%. Outdoor attractions can reopen.     https://web.archive.org/web/20210621021725/https://news.ontario.ca/en/release/1000279/ontario-to-move-to-step-one-of-roadmap-to-reopen-on-june-11"
"29","Quebec","CAN_QC","11-Jun-21","C2_Workplace closing",2,"G",2,"G","Patios are open for bars.    https://web.archive.org/web/20210622043327/https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/plan-deconfinement"
"30","Newfoundland and Labrador","CAN_NL","12-Jun-21","C2_Workplace closing",2,"T",1,"G","Effective 12 june 2021, the government of Newfoundland and Labrador (NL) moved that part of the Western Health Region, which had been at Alert Level 4, to level 2. The entire province is now at Alert Level 2 with businesses open under public health guidelines. See government of NL website, archived: https://web.archive.org/web/20210614172737/https://www.gov.nl.ca/covid-19/alert-system/alert-level-2/  https://web.archive.org/web/20210614173703/https://www.gov.nl.ca/releases/2021/health/0611n05/"
"31","New Brunswick","CAN_NB","14-Jun-21","C2_Workplace closing",1,"G",1,"G","On 14 June 2021, the entire province of New Brunswick (NB) is at the Yellow level: “All types of businesses and activities are allowed to operate under a COVID-19 operational plan... Occupancy of any facility must be based on the ability to maintain physical distancing between people that are not members of their household or Steady15...Entertainment venues ...may operate under a COVID-19 operational plan. Capacity is based on a maximum of 50% of the facility with physical distancing between patrons who are not members of the same household or Steady15.” See Province of NB website, archived: https://web.archive.org/web/20210614140630/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels.html  https://web.archive.org/web/20210614140847/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels/yellow%20level.html"
"32","Quebec","CAN_QC","14-Jun-21","C2_Workplace closing",2,"G",2,"G","All the rest of orange zones moved to the yellow zone, including: Capitale-Nationale, Chaudieres-Appalaches, Estrie, Montreal, Outaouais, Laval, Lanaudiere, Laurentides, Monteregie, Bas-Saint-Laurent regions.    https://web.archive.org/web/20210622043148/https://www.quebec.ca/premier-ministre/actualites/detail/toutes-les-regions-au-palier-jaune-ou-vert-des-le-14-juin-32210"
"33","Nova Scotia","CAN_NS","16-Jun-21","C2_Workplace closing",2,"G",1,"G","As of June 16, 2021 it appears all businesses are now allowed to open provided they follow social distancing and public health guidelines. Personal service providers (e.g. hair salons) can see clients by appointment. Restaurants and bars are allowed to offer in-person dining as long as social distancing is maintained.     1. Source: https://archive.fo/dVmVY  2. Source: https://archive.fo/Rp1yH"
"34","Prince Edward Island","CAN_PE","16-Jun-21","C2_Workplace closing",1,"G",1,"G","https://archive.vn/yZPrK    Masks and increased sanitation and distancing are still required in retail outlets.     (Effective June 6, 2021)    Moving Forward Step 1: FAQs    Personal gatherings will increase to up to 20 people indoors and outdoors.  Weddings and funerals will be permitted with a maximum of 150 people, in cohorts of 50, hosted by a recognized business or organization.  Special occasion events (ex: backyard weddings, anniversary parties) hosted by individuals are permitted with up to 50 people with a reviewed operational plan.  Restaurants may have a table size of up to 20; no restricted closing time for in-person consumption of food and beverage."
"35","Alberta","CAN_AB","18-Jun-21","C2_Workplace closing",2,"G",2,"G","It was announced on June 18 that all COVID-19 restrictions will be lifted as of July 1.  https://web.archive.org/web/20210620035653/https://www.alberta.ca/release.cfm?xID=7940144E074DD-E72F-4915-342DE21DB9377300  "
"36","Saskatchewan","CAN_SK","20-Jun-21","C2_Workplace closing",2,"G",1,"G","All sectors are now open, although most still with restrictions (hence 1 rather than 0). As per the new mid-June public health order and launching of stage 2, here are some changes to workplaces.      """"Table capacity limits are being removed in all restaurants and licensed establishments.  Previously, they were limited to six per table.  Dining tables will still need to maintain two metres of physical distance or have a barrier placed between them.  Retailers can welcome more shoppers, as capacity limits will be removed as long as two metres of physical distance can be maintained between customers.   The number of movie goers may increase to 150 from the current limit of 30.   Dance recitals and competitions will be able to resume for all ages and the maximum capacity limit for spectators of all performing arts facilities will be 150.""""    https://web.archive.org/web/20210619052006/https://www.saskatchewan.ca/government/news-and-media/2021/june/18/covid19-update-for-june-18-961997-vaccines-administered-98-new-cases-95-recoveries-one-new-death"
"37","New Brunswick","CAN_NB","21-Jun-21","C2_Workplace closing",1,"G",1,"G","On 21 June 2021, the entire province of New Brunswick (NB) is at Yellow alert level -- phase 2 on the path to green: “Retail/Restaurants/Gyms & Fitness/Spas/Salons: Regular capacity with maintenance of contact lists for clients in seated venues. Entertainment venues such as casinos, amusement centres, bingo halls, arcades, cinemas and large live performance facilities, as well as restaurants or similar facilities that serve food and/or alcohol and have separate entertainment areas may operate under a COVID-19 operational plan. Capacity is based on a maximum of 50% of the facility with physical distancing between patrons. Controlled venues at which seating is offered … are required to maintain a record of the names and contact information of all persons who attend.” Having achieved the target thresholds for vaccinations -- 75% of residents aged 12 and up have received 1st dose and 20% fully vaccinated with 2 doses, NB implemented phase 2 on the path to green on 17 June. Relative to the previous yellow alert rules, restrictions are now more relaxed for many businesses. But, with capacity limits still in place for entertainment venues, code remains at 1G. See Province of NB website, archived:   https://web.archive.org/web/20210619184600/https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/path-to-green.pdf  https://web.archive.org/web/20210621111612/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels/yellow%20level.html"
"38","Newfoundland and Labrador","CAN_NL","21-Jun-21","C2_Workplace closing",1,"G",1,"G","On 21 june 2021, the entire province of Newfoundland and Labrador (NL) is at Alert Level 2 with businesses open under public health guidelines. See government of NL website, archived: https://web.archive.org/web/20210621150756/https://www.gov.nl.ca/covid-19/alert-levels/alert-level-2/"
"39","Northwest Territories","CAN_NT","22-Jun-21","C2_Workplace closing",1,"G",1,"G","Previous policy for business and office gatherings continue.  Currently, no more than 25 persons are permitted indoors per floor in one location with the exception of essential businesses. Businesses looking to exceed the 25 persons indoor limit must submit an """"Application to Vary"""" to """"Protect NWT"""" for approval by the Chief Public Health Officer.   Indoor workplace gatherings are expected to fully open early July after the end of the school year.    https://web.archive.org/web/20210627194613/https://www.gov.nt.ca/covid-19/en/emerging-wisely-2021  https://web.archive.org/web/20210614170121/https://www.gov.nt.ca/covid-19/sites/covid/files/resources/public-health-order-relaxing-outside-restrictions-2021-06-09_en.pdf"
"40","Nunavut","CAN_NU","25-Jun-21","C2_Workplace closing",2,"T",2,"T","On 25th June in Rankin Inlet and all Qikiqtani communities except Iqaluit, public health measures were eased. Group sessions at fitness centres and pools can increase to 25 people. Theatres may allow 100 people or 75 per cent capacity.    Source: http://web.archive.org/web/20210701083813/https://www.gov.nu.ca/health/news/public-health-restrictions-be-eased-across-qikiqtani-rankin-inlet  "
"41","Manitoba","CAN_MB","26-Jun-21","C2_Workplace closing",3,"T",1,"G","As of June 26, there are no First Nations communities under stricter workplace closure orders. https://web.archive.org/web/20210713204529/https://manitoba.ca/covid19/prs/index.html"
"42","Prince Edward Island","CAN_PE","27-Jun-21","C2_Workplace closing",1,"G",1,"G","https://archive.vn/yZPrK    Masks and increased sanitation and distancing are still required in retail outlets.     (Effective June 6, 2021)    Moving Forward Step 1: FAQs    Personal gatherings will increase to up to 20 people indoors and outdoors.  Weddings and funerals will be permitted with a maximum of 150 people, in cohorts of 50, hosted by a recognized business or organization.  Special occasion events (ex: backyard weddings, anniversary parties) hosted by individuals are permitted with up to 50 people with a reviewed operational plan.  Restaurants may have a table size of up to 20; no restricted closing time for in-person consumption of food and beverage."
"43","New Brunswick","CAN_NB","28-Jun-21","C2_Workplace closing",1,"G",1,"G","On 28 June 2021, the entire province of New Brunswick (NB) is at Yellow alert level -- phase 2 on the path to green. All businesses can operate as long as they adhere to a “COVID-19 operational plan”. Most businesses are allowed to operate at regular or maximum capacity. However, for “[e]ntertainment venues such as casinos, amusement centres, bingo halls, arcades, cinemas and large live performance facilities,...Capacity is based on a maximum of 50% of the facility with physical distancing between patrons.” See Province of NB website, archived:   https://web.archive.org/web/20210628191913/https://www2.gnb.ca/content/gnb/en/news/news_release.2021.06.0505.html  https://web.archive.org/web/20210628193814/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels/yellow%20level.html"
"44","Newfoundland and Labrador","CAN_NL","28-Jun-21","C2_Workplace closing",1,"G",1,"G","On 28 june 2021, the entire province of Newfoundland and Labrador (NL) is at Alert Level 2 with businesses open under public health guidelines. See government of NL website, archived: https://web.archive.org/web/20210628141405/https://www.gov.nl.ca/covid-19/alert-levels/alert-level-2/"
"45","Nova Scotia","CAN_NS","28-Jun-21","C2_Workplace closing",1,"G",1,"G","As of June 28, 2021, businesses, personal service providers, restaurants and bars continue to be allowed to operate provided they follow social distancing and public health guidelines. Source: https://archive.fo/t0dh0"
"46","Quebec","CAN_QC","28-Jun-21","C2_Workplace closing",2,"G",1,"G","All regions in Quebec are now """"green"""" zones. Businesses are open with different measures (ex: spas need reservations, restaurants only allow 10 people per table maximum). Working from home is still recommended if possible.    https://web.archive.org/web/20210706030445/https://www.quebec.ca/premier-ministre/actualites/detail/toutes-les-regions-du-quebec-passeront-au-nouveau-palier-vert-des-le-28-juin-32838"
"47","Northwest Territories","CAN_NT","29-Jun-21","C2_Workplace closing",1,"G",1,"G","As of June 29, 2021, indoor gatherings with a maximum of 200 people are able to proceed without approval required and without masking or distancing. Restrictions on office and workplace gathering for 200 people maximum has lifted. Some exceptions on indoor gatherings still require additional approval includes the following activities deemed high risk: indoor/business gatherings of more than 200 people, funerals/celebrations of life, live singing, wind instrument performances, indoor dancing, winter sports, and handgames.    https://web.archive.org/web/20210705214402/https://www.gov.nt.ca/covid-19/en/emerging-wisely-2021  https://web.archive.org/web/20210705210949/https://www.gov.nt.ca/en/newsroom/indoor-gathering-restrictions-eased-nwt  https://web.archive.org/web/20210705211032/https://www.gov.nt.ca/covid-19/sites/covid/files/resources/pho-gatherings_order_en.pdf"
"48","Nova Scotia","CAN_NS","30-Jun-21","C2_Workplace closing",1,"G",1,"G","As of June 30, 2021, businesses can still continue to operate as long as they follow social distancing and mask guidelines. Source: https://archive.fo/XykJF"
"49","Yukon","CAN_YT","30-Jun-21","C2_Workplace closing",1,"G",1,"G","No policy change. Workplaces remain open, following specific operating guidelines and restrictions provided by the Government of Yukon.    Source: https://web.archive.org/web/20210423054538/https://yukon.ca/en/workplace"
"50","Alberta","CAN_AB","01-Jul-21","C2_Workplace closing",2,"G",0,NA,"On July 1, Alberta entered the final stage of re-opening which removed all COVID-19 restrictions on businesses. All businesses are now allowed to be open and with capacity limits. However the province is offering guidance if businesses involve children, as those 11 and under are not yet eligible to be vaccinated.     The provincial website states the following:  """"In Stage 3, businesses can resume the same operations and level of activity as they were able to before the pandemic began.  Updated general guidance offering optional mitigations to reduce the transmission risk of COVID-19 and other respiratory illnesses is available to businesses and event organizers who would like to continue additional precautions. Guidance for workplaces and settings that involve children have also been updated to reflect Stage 3. Finally, sector-specific guidance from the previous stage is also available for additional reference.""""    https://web.archive.org/web/20210702043755/https://www.alberta.ca/release.cfm?xID=79489DAA559B5-0124-F511-6AA1E92F0787B002  https://web.archive.org/web/20210702044337/https://www.alberta.ca/guidance-documents.aspx"
"51","British Columbia","CAN_BC","01-Jul-21","C2_Workplace closing",NA,NA,1,"G","As of July 1, 2021, British Columbia has entered step 3 of its re-opening plan. Workplaces will transition from a COVID-19 Safety Plan to a communicable disease plan and additional safety precautions required in higher risk workplaces.     1. Source: https://archive.fo/DGdOA  2. Source: https://archive.fo/aUUm9"
"52","New Brunswick","CAN_NB","05-Jul-21","C2_Workplace closing",1,"G",1,"G","On 5 July 2021, the entire province of New Brunswick (NB) remains at Yellow alert level -- phase 2 on the path to green. All businesses can operate as long as they adhere to a “COVID-19 operational plan”. Most businesses are allowed to operate at regular or maximum capacity. However, for “[e]ntertainment venues such as casinos, amusement centres, bingo halls, arcades, cinemas and large live performance facilities,...Capacity is based on a maximum of 50% of the facility with physical distancing between patrons.” See Province of NB website, archived:   https://web.archive.org/web/20210703180650/https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/alert-levels/yellow%20level.html"
"53","Newfoundland and Labrador","CAN_NL","05-Jul-21","C2_Workplace closing",1,"G",1,"G","On 5 july 2021, the entire province of Newfoundland and Labrador (NL) is at Alert Level 2 with businesses open under public health guidelines and some types of establishments at reduced capacity. See government of NL website, archived:  https://web.archive.org/web/20210705111935/https://www.gov.nl.ca/covid-19/alert-levels/alert-level-2/"
"54","Ontario","CAN_ON","11-Jun-21","C3_Cancel public events",2,"G",1,"G","Ontario moves to its Step One of reopening.     Public events with up to 10 people are allowed. Religious services are capped at the number of people that can maintain a physical distance of two metres.    https://web.archive.org/web/20210621021725/https://news.ontario.ca/en/release/1000279/ontario-to-move-to-step-one-of-roadmap-to-reopen-on-june-11"
"55","Newfoundland and Labrador","CAN_NL","12-Jun-21","C3_Cancel public events",2,"T",1,"G","Effective 12 june 2021, the government of Newfoundland and Labrador (NL) moved that part of the Western Health Region, which had been at Alert Level 4, to level 2. The entire province is now at Alert Level 2: “Traditional parades and large-scale outdoor ceremonies or events, including community fireworks and bonfires, are not recommended at this time... Organizers should consider adjusting event plans to follow the Guidelines for Distanced Gatherings, and/or making alternate arrangements that would eliminate or reduce any associated gatherings to under 100 people.” See government of NL website, archived: https://web.archive.org/web/20210614172737/https://www.gov.nl.ca/covid-19/alert-system/alert-level-2/  https://web.archive.org/web/20210614173703/https://www.gov.nl.ca/releases/2021/health/0611n05/"
